date,flu symptoms,flu,fever,cough,flu test
2023-04-30,2,16,39,33,0
2023-05-07,2,16,40,34,0
2023-05-14,2,15,41,33,0
2023-05-21,2,14,41,33,0
2023-05-28,2,13,40,32,0
2023-06-04,2,13,37,30,0
2023-06-11,2,13,38,29,0
2023-06-18,2,12,36,28,0
2023-06-25,2,11,37,26,0
2023-07-02,2,11,37,27,0
2023-07-09,2,11,35,24,0
2023-07-16,2,10,34,24,0
2023-07-23,2,11,35,24,0
2023-07-30,2,12,34,25,0
2023-08-06,2,14,36,25,0
2023-08-13,2,15,38,26,0
2023-08-20,2,19,38,28,0
2023-08-27,3,22,38,31,1
2023-09-03,3,27,40,33,1
2023-09-10,3,34,38,34,1
2023-09-17,4,40,39,35,1
2023-09-24,4,45,40,36,1
2023-10-01,4,45,38,37,1
2023-10-08,4,45,37,39,1
2023-10-15,4,46,38,40,1
2023-10-22,4,45,40,42,1
2023-10-29,4,43,39,41,1
2023-11-05,5,42,42,47,1
2023-11-12,6,42,43,48,1
2023-11-19,6,38,42,51,1
2023-11-26,7,45,44,53,1
2023-12-03,8,45,47,51,1
2023-12-10,10,55,54,57,2
2023-12-17,13,74,63,61,3
2023-12-24,14,78,62,64,3
2023-12-31,12,65,52,63,3
2024-01-07,9,50,46,50,2
2024-01-14,7,44,44,43,2
2024-01-21,8,45,46,43,2
2024-01-28,8,43,46,40,2
2024-02-04,8,44,47,41,2
2024-02-11,7,41,46,39,2
2024-02-18,7,42,47,39,2
2024-02-25,7,38,45,40,1
2024-03-03,5,33,45,38,1
2024-03-10,4,28,42,36,1
2024-03-17,4,26,41,36,1
2024-03-24,4,26,40,35,1
2024-03-31,4,33,39,33,1
2024-04-07,4,24,40,34,1
2024-04-14,3,21,53,33,1
2024-04-21,3,24,41,34,1
2024-04-28,3,23,55,31,0
2024-05-05,3,20,49,32,0
2024-05-12,3,18,78,31,0
2024-05-19,3,18,83,33,0
2024-05-26,3,17,87,31,0
2024-06-02,3,19,76,30,0
2024-06-09,2,16,69,28,0
2024-06-16,2,16,88,26,0
2024-06-23,2,14,81,27,0
2024-06-30,2,13,86,25,0
2024-07-07,2,14,77,25,0
2024-07-14,2,15,71,25,0
2024-07-21,2,14,40,25,0
2024-07-28,2,14,38,25,0
2024-08-04,2,15,37,23,0
2024-08-11,2,16,52,25,0
2024-08-18,3,20,67,27,1
2024-08-25,2,22,100,28,1
2024-09-01,3,27,91,30,1
2024-09-08,3,31,86,32,1
2024-09-15,3,33,74,33,1
2024-09-22,3,36,83,31,1
2024-09-29,3,39,39,33,1
2024-10-06,2,27,25,23,1
2024-10-13,2,27,25,26,1
2024-10-20,3,27,27,28,1
2024-10-27,2,25,30,27,1
2024-11-03,2,22,25,26,1
2024-11-10,3,25,27,30,1
2024-11-17,3,25,28,32,1
2024-11-24,3,23,29,33,1
2024-12-01,3,26,29,32,1
2024-12-08,4,30,31,34,1
2024-12-15,8,50,36,37,1
2024-12-22,10,60,43,48,2
2024-12-29,11,67,38,44,2
2025-01-05,9,57,34,35,2
2025-01-12,8,53,36,34,2
2025-01-19,10,62,39,36,2
2025-01-26,15,88,46,39,3
2025-02-02,16,100,47,38,4
2025-02-09,14,87,39,33,3
2025-02-16,11,71,37,34,3
2025-02-23,8,61,34,29,2
2025-03-02,6,41,31,28,2
2025-03-09,5,36,31,27,1
2025-03-16,4,28,29,25,1
2025-03-23,3,24,29,25,1
2025-03-30,3,20,27,23,1
2025-04-06,2,18,27,23,1
2025-04-13,2,18,28,22,1
2025-04-20,2,16,27,22,1
2025-04-27,2,15,31,22,1
2025-05-04,2,13,36,21,0
2025-05-11,2,12,39,21,0
2025-05-18,2,12,62,21,0
2025-05-25,2,12,43,21,0
2025-06-01,1,11,36,20,0
2025-06-08,1,9,46,19,0
2025-06-15,1,9,57,18,0
2025-06-22,1,9,61,17,0
2025-06-29,1,8,50,16,0
2025-07-06,1,10,48,15,0
2025-07-13,1,9,53,16,0
2025-07-20,1,9,40,16,0
2025-07-27,1,9,48,16,0
2025-08-03,1,10,47,15,0
2025-08-10,1,11,43,16,0
2025-08-17,1,12,40,17,0
2025-08-24,2,15,42,18,1
2025-08-31,2,20,38,18,1
2025-09-07,2,22,31,19,1
2025-09-14,2,23,40,20,1
2025-09-21,2,25,47,20,1
2025-09-28,2,28,44,20,1
2025-10-05,2,16,20,17,0
2025-10-12,2,17,19,17,0
2025-10-19,2,17,19,18,0
2025-10-26,2,17,20,19,0
2025-11-02,2,16,19,20,0
2025-11-09,2,17,21,21,1
2025-11-16,2,19,23,22,1
2025-11-23,3,21,23,24,1
2025-11-30,3,22,22,26,1
2025-12-07,4,25,25,25,1
2025-12-14,5,34,30,27,1
2025-12-21,11,72,40,36,3
2025-12-28,15,97,42,42,4
2026-01-04,12,75,32,33,3
2026-01-11,8,47,28,26,2
2026-01-18,6,39,28,24,2
2026-01-25,5,30,29,25,1
2026-02-01,5,28,31,25,1
2026-02-08,6,31,30,23,1
2026-02-15,7,34,34,27,1
2026-02-22,5,28,29,25,1
2026-03-01,4,25,29,23,1
2026-03-08,3,23,29,25,1
2026-03-15,3,19,28,24,1
